Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
Software Engineer,AHM - Software Development  Internship Program,Astra,Kota Jakarta Utara,"Jurusan: TEKNIK INFORMATIKA / SISTEM INFORMASI / TEKNIK ELEKTRO / TEKNIK KOMPUTER / MANAJEMEN INFORMATIKA / SOFTWARE ENGINEERING / COMPUTER SCIENCE / AUTOMATION ENGINEERING
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Memiliki pengalaman dalam membuat aplikasi Web menggunakan .Net Web API (.Net Core & Entity Framework) atau Java (Spring & Hibernate) 
- Menguasai bahasa pemrograman database (SQL & PLSQL)
- Menguasai bahasa pemrograman web front end (javascript, jquery, html dan css)
- Memiliki pengalaman menggunakan UI Framework (Bootstrap) 

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur
 
Kriteria Lainnya :
- Bersedia bekerja onsite di Astra Honda Motor",2
TSO - Information Technology – Product Developer,TSO - Digital Innovation,Astra,Kota Jakarta Utara,"""• Mahasiswa aktif S1 minimal semester 5
• Berasal dari jurusan Information Technology (IT)
• Memiliki inisiatif yang tinggi
• Memiliki kemampuan coding, web & app development
• Mampu beradaptasi dengan baik dan cepat
• Mampu bekerja dalam tim""
",2
TSO - Business Intelligence & Data Analytics,TSO - Digital Innovation,Astra,Kota Jakarta Utara,"""• Mahasiswa aktif S1 minimal semester 5
• Berasal dari jurusan Statistics / Sistem Informasi
• Memiliki inisiatif yang tinggi
• Memiliki kemampuan data analytics : query data , SQL, phyton, vizualisation, coding, dan menguasai tools data analytics
• Mampu beradaptasi dengan baik dan cepat
• Mampu bekerja dalam tim""
",2
TSO - Digital Marketing & Content Strategy,TSO - Digital Innovation,Astra,Kota Jakarta Utara,"""• Mahasiswa aktif S1 minimal semester 5
• Berasal dari jurusan Desain Komunikasi Visual atau Ilmu Komunikasi
• Memiliki inisiatif yang tinggi
• Memiliki kemampuan graphic design, copy writing, cinematography
• Mampu beradaptasi dengan baik dan cepat
• Mampu bekerja dalam tim""
",2
TSO - Digital Commerce Business Analyst ,TSO - Digital Innovation,Astra,Kota Jakarta Utara,"• Mahasiswa aktif S1 minimal semester 5
• Berasal dari jurusan Sistem Informasi , Manajemen (e-Business) atau Manajemen Informasi
• Memiliki inisiatif yang tinggi
• Memiliki kemampuan analisa data yang baik
• Mampu beradaptasi dengan baik dan cepat
• Mampu bekerja dalam tim""
",2
AIHO - People Development Analyst,"AIHO - Improve Astra Development Program for Talent, Expert & Human Capital",Astra,Kota Jakarta Utara,S1 Teknik Industri,1
AIHO - Corporate Organization Development Intern,AIHO - Corporate Organization Development Internship Program,Astra,Kota Jakarta Utara,"Mahasiswa Jurusan Teknik Industri
    - Memahami konteks industri, model bisnis, dan organisasi
    - Memiliki keinginan untuk belajar bidang baru, teamwork yang baik, Analisis yang baik
    - Literasi keilmuan Statistika dan aplikasi analisis data menggunakan tools (seperti SPSS, atau lainnya)",1
Branding Analyst,AHM - Optimalization Employer Branding & Recruitment Process Internship Program,Astra,Kota Jakarta Utara,"Jurusan: Desain Komunikasi Visual, Multimedia, Ilmu Komunikasi
Jenjang: S1
Semester: Minimal semester 6
IPK: min 3.00 (skala 4.00)

Kriteria hard skills:
- Memiliki pengetahuan dan keahlian di bidang komunikasi, content creator, dan social media analytics
- Memiliki pengetahuan mengenai fotografi, videografi, cinematografi, dan animasi
- Memiliki kemampuan menggunakan adobe illustrator, adobe premiere dan sejenisnya
- Memiliki kemampuan untuk mengelola dan melaksanakan suatu event
- Memiliki kemampuan untuk mengolah data, menarik insight, dan memberikan rekomendasi dari olahan data tersebut.
 
Kriteria soft skills:
- Memiliki passion di bidang media sosial dan content creator
- Attention to detail
- Problem solving skill
- Mampu mengolah data yang sangat beragam
- Bermotivasi tinggi


Kriteria Lainnya:
- Bersedia ditugaskan di seluruh plant AHM & jaringannya
- Bersedia ditugaskan di area kantor dan pabrik
",1
AIHO - Product Development Intern,AIHO - Product Development Internship Program,Astra,Kota Jakarta Timur,"Jurusan: Sistem Informasi, Manajemen
Jenjang pendidikan: S1
Soft skill: Communication skill, project management, teamwork, problem solving, analytical thinking
Hard skill: Microsoft office, data analytics",1
AIHO - SQA Internship Program,AIHO - SQA Internship Program,Astra,Kota Jakarta Timur,"Jurusan  : Sistem Informasi, Teknik Informatika
Jenjang pendidikan : S1
Soft skill  : Communication skill, project management, teamwork, problem solving, analytical thinking
Hard skill  : Microsoft office, data analytics",1
Corporate Investor Relations Intern,AIHO - Corporate Investor Relations  Internship Program,Astra,Kota Jakarta Selatan,"Mahasiswa aktif jurusan manajemen, finance, accounting dan jurusan lainnya",1
ADM - Real Time Monitoring System & Data Analyst (SCADA),ADM -  Digital Transformation Internship Program,Astra,Kota Jakarta Utara,"Jurusan: 
Sistem Informatika
Teknik Informatika
Teknik Komputer
Teknik Industri
Teknik Elektro

Jenjang: D3 / D4 / S1
Semester: Minimal semester 6

Kriteria hard skills:
- Bahasa Pemrograman Native
  PHP, Javascript, mySql, Ajax, Jquery, Power BI, Phyton, Cisco
- UML (Unified Modelling Languange)
- Pengembangan web design UI-UX
- SCADA
- IOT

Kriteria soft skills:
- Mengerti SDLC (System Development Life Cycle)
- Memiliki kemampuan komunikasi yang baik
- Mampu bekerja dalam tim
- Memiliki inisiatif tinggi
- Critical thinking
- Terstruktur",1
Executive Development Intern,AIHO - Knowledge Management Establishment,Astra,Kota Jakarta Utara,Psikologi/ Teknik Industri/ Administrasi Negara,2
GA Project Development,AIHO - Project Development Relayout Project,Astra,Kota Jakarta Utara,"S1 Arsitek / Teknik Arsitektur/ Teknik Sipil, IPK Min. 3.0",1
Culture Champion,AIHO - Culture Internalization and Activity,Astra,Kota Jakarta Utara,"1. S1 Segala Jurusan, diutamakan Teknik Industri / Manajemen / Ilmu Komunikasi, min. Semester 6
2. Mampu membuat presentasi yang menarik (menggunakan Ms. Powerpoint, Canva, Prezi, dll) dan mudah dipahami oleh orang lain
3. Memiliki pengalaman berorganisasi atau kepanitiaan dalam kegiatan, diutamakan organisasi atau kegiatan kreatif (creative event, seperti pentas musik, drama, nonton bareng,dll)
4. Mampu berpikir out of the box",1
ADM-Social Media Talent for Manufacturing Internship Program,ADM-Social Media Talent in the Manufacturing Area Internship Program,Astra,Kota Jakarta Utara,"Jurusan: 
Sistem Informasi
Teknik Informatika
Teknik Komputer
Desain Komunikasi Visual
Desain Grafis
Multimedia

Jenjang: D3 / D4 / S1
Semester: Minimal semester 6

Kriteria hard skills:
- Graphic Design & Video Editing (Adobe Ilustrator, Premier, Photoshop, dll.)
- Copy Writing
- Social Media Management

Kriteria soft skills:
- >1000 Followers on IG / Tiktok
- Memiliki kemampuan komunikasi yang baik
- Mampu bekerja dalam tim
- Memiliki inisiatif tinggi
- Critical thinking
- Terstruktur",1
AIHO - Project Management Intern,AIHO - Project Managemement Internship Program,Astra,Kota Jakarta Timur,"Jurusan   : Sistem Informasi, Manajemen
Jenjang pendidikan: S1
Soft skill : Communication skill, project management, teamwork, problem solving, analytical thinking
Hard skill : Microsoft office, data analytics",1
Industrial Relations Associate,AIHO - Improvement of Human Capital Regulations,Astra,Kota Jakarta Utara,"1. S1 Hukum, min semester 6 atau sudah mengambil mata kuliah Penyusunan Peraturan Perundang-Undangan (atau mata kuliah lain sejenis)
2. Mampu membuat presentasi yang menarik (menggunakan Ms. Powerpoint, Canva, Prezi, dll) dan membuat orang yang tidak paham hukum menjadi mengerti hukum
3. Mampu mengoperasikan Ms. Excel, Ms. Powerpoint, Ms. Word, dan Ms. Visio
4. Mampu membuat flowchart sesuai dengan ISO",1
1. ADM-Automation Process Improvement Internship Program,ADM-Acceleration of Production Process Automation Internship Program,Astra,Jakarta Utara,"Jurusan: 
Teknik Mesin

Jenjang: D3 / D4 / S1
Semester: Minimal semester 6

Kriteria hard skills:
- Reliability Centered Maintenance (RCM) Tools
- 3D Design (Modelling, Simulation, & Analysis)
- Total Quality Management (TQM)
- Measurement & Capability Process Analysis (Cp-Cpk)

Kriteria soft skills:
- Memiliki kemampuan komunikasi yang baik
- Mampu bekerja dalam tim
- Memiliki inisiatif tinggi
- Critical thinking
- Terstruktur",1
Logistic & Distribution Analyst,AHM - Distribution Process Evaluation Internship Program,Astra,Kota Jakarta Utara,"Jurusan: Teknik Industri/Manajemen/Statistika/Matematika
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Microsoft Excel
- Microsoft Power Point

Kriteria soft skills:
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur

Kriteria Lainnya:
- Bersedia ditugaskan di seluruh plant AHM & jaringannya
- Bersedia ditugaskan di area kantor dan pabrik
",4
Accounting & Finance,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Pendidikan: Diutamakan jurusan Akuntansi/Ekonomi
2.	Mengerti dasar-dasar akuntansi dan perpajakan
3.	Dapat mengoperasikan program accounting 
4.	Dapat membuat laporan keuangan lengkap
5.	Dapat mengoperasikan program Microsoft Office (Word, Excel, Powerpoint)
6.	Dapat berkomunikasi dengan baik
7.	Memiliki ketelitian dan kemampuan berhitung yang baik
8.	Memiliki kejujuran, disiplin dan bertanggung jawab atas tugas yang diberikan
9.	Memiliki keinginan untuk belajar
",12
Advertiser,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1. Keterampilan komunikasi dan interpersonal yang luar biasa
2. Keterampilan verbal, menulis, dan mengedit yang sangat baik dalam bahasa Inggris
3. Kreativitas dan inisiatif tingkat tinggi
4. Orang yang giat memotivasi diri, membutuhkan pengawasan minimum
5. Proaktif dan mampu bekerja secara efektif dalam tim maupun individu
6. Memahami dinamika fungsi penjualan dan bagaimana hal ini mempengaruhi perolehan prospek
7. Mampu berkomunikasi dengan baik dan bekerja dalam kelompok
8. Memiliki dasar skill paid marketing, bisa mengoperasionalkan Google Ads dan Facebook Manager
9. Memiliki skill analisis performa iklan digital 
10. Mampu meningkatkan performa iklan digital
11. Lebih disukai jika mahir dalam manajemen pemasaran media sosial
",3
IT Product Development ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1. Mahir dalam setidaknya satu bahasa pemrograman dan manajemen database untuk dapat memahami dan berkomunikasi secara efektif dengan tim pengembang
2. Pengetahuan tentang Konsep ERP Terpadu Berpengalaman di beberapa sistem ERP akan menjadi keuntungan
3. Pengetahuan yang baik tentang Analisis Sistem dan metodologi Desain
4. Pengetahuan yang baik tentang Siklus Hidup Pengembangan Sistem (SDLC) dan Metode lain yang terkait dengan Pengembangan Perangkat Lunak
5. Pengetahuan yang kuat tentang desain, pengembangan, pemodelan, Database relasional (SQL Server), konsep Pemrograman Berorientasi Objek (OOP), dan konsep MVC
6. Berpengalaman dalam beberapa bahasa Berorientasi Objek (seperti Java, PHP, .Net) akan menjadi keuntungan
7. Berpengalaman mengembangkan dan / atau mendesain aplikasi dari awal
8. Kemampuan untuk menjelaskan detail teknis
9. Kemampuan untuk memecah dan mendelegasikan tugas pengembangan produk
10.Mahir dalam mengoperasikan Microsoft Office (terutama Word & Excel)
11. Mahir mengoperasikan Google Drive, Google Sheet, Google Doc
12. Pengetahuan Akuntansi adalah nilai tambah
",26
Project Management ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan komunikasi dan interpersonal yang luar biasa
2.	Memiliki manajemen waktu yang baik dan berinisiatif tinggi
3.	Lebih disukai bisa berbahasa Inggris
4.	Dapat mengoperasikan program Microsoft Office (Word, Excel, Powerpoint)
5.	Dapat berkomunikasi dengan baik
6.	Dapat bekerjasama dalam tim
7.	Memiliki sifat ketelitian yang baik
8.	Memiliki kejujuran, disiplin dan bertanggung jawab atas tugas yang diberikan
9.	Memiliki keinginan untuk belajar
10.	Bersedia bekerja secara Offline (WFO)
",45
UI/UX Designer ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Mahir menggunakan Adobe XD / Figma / software sejenis lainnya, Adobe Illustrator, Adobe Photoshop (Adobe After Effects merupakan nilai tambah)
2.	Mampu mengirimkan aset yang dibutuhkan ke programmer
3.	Mampu bekerja dalam tim
4.	Dapat memperkirakan tenggat waktu dan mengirimkan desain tepat waktu
",6
Public Relation ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan komunikasi dan interpersonal yang luar biasa
2.	Keterampilan verbal, menulis, dan mengedit yang sangat baik dalam bahasa Inggris
3.	Kreativitas dan inisiatif tingkat tinggi
4.	Orang yang giat memotivasi diri, membutuhkan pengawasan minimum
5.	Proaktif dan mampu bekerja secara efektif dalam tim maupun individu
6.	Memahami dinamika fungsi penjualan dan bagaimana hal ini mempengaruhi perolehan prospek
7.	Lebih disukai jika memiliki pengetahuan domain di bidang solusi perangkat lunak untuk Enterprise space merupakan nilai tambah
",2
Email Marketing  ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan komunikasi dan interpersonal yang luar biasa
2.	Keterampilan verbal, menulis, dan mengedit yang sangat baik dalam bahasa Inggris
3.	Kreativitas dan inisiatif tingkat tinggi
4.	Orang yang giat memotivasi diri, membutuhkan pengawasan minimum
5.	Proaktif dan mampu bekerja secara efektif dalam tim maupun individu
6.	Memahami dinamika fungsi penjualan dan bagaimana hal ini mempengaruhi perolehan prospek
7.	Lebih disukai jika memiliki pengetahuan dalam desain
8.	Lebih disukai jika memiliki pengetahuan dalam SEO, Adwords, Google Analytics, EDM, media sosial, hubungan masyarakat, dan platform pemasaran digital lainnya
9.	Lebih disukai jika memiliki pengetahuan domain di bidang solusi perangkat lunak untuk Enterprise space merupakan nilai tambah
10.	Lebih disukai jika mahir dalam manajemen pemasaran media sosial
11.	Bersedia bekerja secara Hybrid
",5
Business Development ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan interpersonal & presentasi yang baik
2.	Sangat komunikatif & berinisiatif
3.	Kemampuan untuk bekerja dengan baik dengan orang lain dan memimpin tim
4.	Mahir berbahasa Inggris lisan & tulisan
5.	Kemampuan manajemen waktu yang baik
6.	Keterampilan menghadapi klien dan komunikasi internal yang sangat baik
7.	Kemampuan menganalisis data yang baik
",50
Sales Assistant   ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan interpersonal & presentasi yang baik
2.	Sangat komunikatif & berinisiatif
3.	Kemampuan untuk bekerja dengan baik dengan orang lain dan memimpin tim
4.	Mahir berbahasa Inggris lisan & tulisan
5.	Kemampuan manajemen waktu yang baik
6.	Keterampilan menghadapi klien dan komunikasi internal yang sangat baik
7.	Kemampuan menganalisis data yang baik
",8
Social Media Specialist ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan komunikasi dan interpersonal yang luar biasa
2.	Keterampilan verbal, menulis, dan mengedit yang sangat baik dalam bahasa Inggris
3.	Kreativitas dan inisiatif tingkat tinggi
4.	Orang yang giat memotivasi diri, membutuhkan pengawasan minimum
5.	Proaktif dan mampu bekerja secara efektif dalam tim maupun individu
6.	Memahami dinamika fungsi penjualan dan bagaimana hal ini mempengaruhi perolehan prospek
7.	Lebih disukai jika memiliki pengetahuan dalam HTML, JS & CSS
8.	Lebih disukai jika memiliki pengetahuan dalam SEO, Adwords, Google Analytics, EDM, media sosial, hubungan masyarakat, dan platform pemasaran digital lainnya
9.	Lebih disukai jika memiliki pengetahuan domain di bidang solusi perangkat lunak untuk Enterprise space merupakan nilai tambah
10.	Lebih disukai jika mahir dalam manajemen pemasaran media sosial
",12
Marketing  Assistant  ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan komunikasi dan interpersonal yang luar biasa
2.	Keterampilan verbal, menulis, dan mengedit yang sangat baik dalam bahasa Inggris
3.	Kreativitas dan inisiatif tingkat tinggi
4.	Orang yang giat memotivasi diri, membutuhkan pengawasan minimum
5.	Proaktif dan mampu bekerja secara efektif dalam tim maupun individu
6.	Memiliki kemampuan untuk memelihara dan membangun kemitraan industri
7.	Memiliki kemampuan berkomunikasi yang baik
8.	Memiliki kemampuan berkolaborasi dengan divisi lain
9.	Memiliki keterampilan verbal, menulis, dan mengedit dalam bahasa Indonesia dan Inggris
10.	Memiliki inisiatif yang tinggi
11.	Memiliki kemampuan untuk bekerja di bawah tekanan
12.	Mampu bekerja dengan deadline 
13.	Lebih disukai jika memiliki pengetahuan dalam Adwords, Google Analytics, Facebook Ads, dan hubungan masyarakat
",4
Creative Promotion ,Quality Internship Program batch 4,HashMicro,Kota Jakarta Pusat,"1.	Keterampilan komunikasi dan interpersonal yang luar biasa
2.	Keterampilan verbal, menulis, dan mengedit yang sangat baik dalam bahasa Inggris
3.	Kreativitas dan inisiatif tingkat tinggi
4.	Orang yang giat memotivasi diri, membutuhkan pengawasan minimum
5.	Proaktif dan mampu bekerja secara efektif dalam tim maupun individu
6.	Memiliki kemampuan untuk memelihara dan membangun kemitraan industri
7.	Memiliki kemampuan berkomunikasi yang baik
8.	Memiliki kemampuan berkolaborasi dengan divisi lain
9.	Memiliki keterampilan verbal, menulis, dan mengedit dalam bahasa Indonesia dan Inggris
10.	Memiliki kemampuan bekerja sama dan komunikasi dalam tim.
11.	Memiliki kemampuan menulis yang menarik dan komersial.
12.	Memiliki kemampuan untuk membuat ide konsep yang kreatif.
13.	Memiliki rasa inisiatif yang tinggi
14.	Bersedia bekerja secara offline (WFO)
",2
